userid,phone_no,brand,description,os,ram,screen_size,processor,gpu,price,warranty
user6702,+91 7372172620,hp,"hp laptop with 32gb RAM, 16-inch screen, ryzen 9 processor, and gtx 1650 GPU",linux,32gb,16,ryzen 9,gtx 1650,220224,no
user7007,+91 9262659300,hp,"hp laptop with 8gb RAM, 17-inch screen, ryzen 7 processor, and rtx 3060 GPU",linux,8gb,17,ryzen 7,rtx 3060,119661,yes
user1788,+91 9551021451,apple,"apple laptop with 4gb RAM, 16-inch screen, i7 processor, and rtx 3070 GPU",macos,4gb,16,i7,rtx 3070,173000,no
user7500,+91 9395851657,acer,"acer laptop with 8gb RAM, 17-inch screen, ryzen 9 processor, and rtx 3070 GPU",linux,8gb,17,ryzen 9,rtx 3070,115254,yes
user3045,+91 8345998765,lenovo,"lenovo laptop with 16gb RAM, 14-inch screen, i9 processor, and rtx 3070 GPU",windows,16gb,14,i9,rtx 3070,108514,yes
user7497,+91 7065279052,acer,"acer laptop with 8gb RAM, 16-inch screen, i9 processor, and rtx 2060 GPU",windows,8gb,16,i9,rtx 2060,129325,no
user9648,+91 8763135987,mi,"mi laptop with 4gb RAM, 13-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,4gb,13,ryzen 9,gtx 1650,53840,yes
user3308,+91 7981864185,lenovo,"lenovo laptop with 16gb RAM, 17-inch screen, i5 processor, and gtx 1650 GPU",linux,16gb,17,i5,gtx 1650,139035,no
user8884,+91 7689408935,acer,"acer laptop with 16gb RAM, 13-inch screen, i3 processor, and rtx 3060 GPU",macos,16gb,13,i3,rtx 3060,161438,yes
user7618,+91 8342335801,lenovo,"lenovo laptop with 4gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3060 GPU",windows,4gb,13,ryzen 3,rtx 3060,49110,yes
user1391,+91 8582050372,asus,"asus laptop with 16gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3080 GPU",windows,16gb,15,ryzen 7,rtx 3080,115595,no
user9453,+91 9152107297,mi,"mi laptop with 8gb RAM, 14-inch screen, i9 processor, and rtx 3070 GPU",linux,8gb,14,i9,rtx 3070,77183,yes
user1945,+91 8567207165,hp,"hp laptop with 4gb RAM, 16-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,4gb,16,ryzen 7,rtx 3080,59923,no
user9049,+91 8535490951,mi,"mi laptop with 16gb RAM, 15-inch screen, i5 processor, and rtx 3080 GPU",linux,16gb,15,i5,rtx 3080,114194,no
